region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,H_4_bits,H_6_bits,H_8_bits,H_9_bits,H_10_bits,H_11_bits,H_12_bits
08B,08BB001,15354.7,58.73625336517487,-132.40533801114765,-1159.64,3.18877,0.55,0.14,0.23,0.01,0.01,0.01,0.02,0.04,-0.01,0.54,0.15,0.23,0.01,0.01,0.01,0.02,0.04,-0.01,0.56,0.14,0.23,0.01,0.01,0.01,0.02,0.03,-0.01,15.657910346984863,352.8620145671409,1110.05322265625,1138.329345703125,2696.2646484375,8.054125785827637,1138.329345703125,2269.7,-6.1,3.5,468.6,954.6,228.0,3.3,0.5,0.9,0.0,1.705687800611814,3.9438826053398612,6.085893898395939,7.743617155090022,8.87363641507208,9.508891803154846,9.755233834113694
08B,08BB005,16854.6,58.73422025329191,-132.51600178533857,-1180.15,3.43178,0.52,0.14,0.23,0.01,0.01,0.01,0.02,0.07,-0.01,0.51,0.15,0.24,0.01,0.01,0.01,0.02,0.07,-0.02,0.53,0.13,0.24,0.01,0.01,0.01,0.02,0.05,0.0,16.454994201660156,353.9798442225459,1110.0,1130.5628662109375,2696.2646484375,4.148698806762695,1130.5628662109375,2374.7,-6.0,3.5,473.4,997.3,226.5,3.2,0.5,0.9,0.0,1.5875527904795201,3.584102172986401,6.285165406094499,7.689666520546725,8.682839240491012,8.953351647255836,8.950582889485279
08B,15031000,2.2,58.18743805450212,-133.91723159079976,-1480.66,12.5623,0.01,0.37,0.19,0.02,0.02,0.06,0.07,0.26,-2.220446049250313e-16,0.01,0.37,0.26,0.02,0.02,0.06,0.06,0.2,0.0,0.01,0.37,0.26,0.02,0.02,0.07,0.06,0.19,0.0,35.74029922485352,156.39335402607833,1159.9281005859375,1074.3265380859375,1533.1490478515625,297.6300964355469,1074.3265380859375,4474.1,-4.2,4.1,531.1,1544.8,220.8,2.8,0.4,0.8,0.0,2.6291419486928223,3.7666016349315377,5.862227135476836,6.962246579275433,7.727877914559215,8.267267686497604,8.505874601246735
08B,15039900,4.4,58.25441732914855,-133.9668483943516,-1446.65,6.99731,0.0,0.41,0.24,0.03,0.03,0.04,0.1,0.14,0.01,0.0,0.41,0.3,0.03,0.04,0.04,0.1,0.08,0.0,0.0,0.41,0.34,0.03,0.04,0.03,0.09,0.06,0.0,26.519365310668945,219.5621721522776,1122.0111083984375,1094.2275390625,1537.487548828125,733.719970703125,1094.2275390625,4378.4,-4.8,3.7,512.0,1614.8,225.2,2.8,0.4,0.8,0.0,2.9553942266209843,4.6300064972533415,6.647638460900159,7.607775866143628,8.284189489511968,8.657114142297067,8.703770430123244
08B,15040000,39.2,58.22435609748164,-133.97292699471168,-1503.16,16.24427,0.1,0.27,0.16,0.02,0.02,0.04,0.16,0.23,-2.220446049250313e-16,0.1,0.28,0.21,0.02,0.02,0.04,0.14,0.19,0.0,0.1,0.27,0.26,0.02,0.03,0.04,0.13,0.15,0.0,26.36619758605957,309.2898778736502,972.1146240234376,969.8458862304688,1604.6356201171875,135.5870819091797,969.8458862304688,4312.6,-4.1,4.2,534.4,1472.0,217.6,2.8,0.4,0.8,0.0,2.067926401269024,4.220434956455215,6.626356299541015,7.772863624162238,8.511147160387644,8.78321155737943,8.828830727371239
08B,15041200,16815.5,-133.7017432,58.53829828,-1180.69,3.43693,0.52,0.14,0.23,0.01,0.01,0.01,0.02,0.06,0.0,0.51,0.15,0.24,0.01,0.01,0.01,0.02,0.06,-0.01,0.53,0.14,0.24,0.01,0.01,0.01,0.02,0.05,-0.01,16.4951171875,353.6970242624613,1110.166015625,1129.8870849609375,2696.2646484375,4.380000114440918,1129.8870849609375,2371.9,-6.0,3.6,473.7,990.5,226.5,3.2,0.5,0.9,0.0,1.542885749032596,3.5162049195712326,6.243788343201899,7.6642567709936635,8.859279428030648,9.596835164379426,9.891688006071169
08B,15048000,11.4,58.274413928798445,-134.28292539390847,-1460.66,16.80234,0.04,0.8,0.07,0.01,0.01,0.01,0.01,0.05,-2.220446049250313e-16,0.04,0.8,0.09,0.01,0.01,0.01,0.01,0.03,0.0,0.04,0.8,0.1,0.01,0.01,0.01,0.01,0.02,0.0,31.05708885192871,230.5437314142854,626.766845703125,634.3626708984375,1286.0999755859375,198.6044769287109,634.3626708984375,3480.9,-1.9,5.7,608.8,635.5,203.2,2.9,0.4,0.9,0.0,2.14967940314897,3.666247611199473,5.362821681454087,6.234615896157712,7.021796182816189,7.35756145525826,7.408032981317445
08B,15049900,21.5,58.31132690084423,-134.33643122852175,-1515.73,18.84183,0.08,0.58,0.12,0.02,0.02,0.03,0.03,0.12,0.0,0.08,0.58,0.2,0.02,0.03,0.02,0.02,0.04,0.01,0.08,0.58,0.22,0.02,0.03,0.02,0.02,0.03,0.0,29.402589797973636,263.9968858495648,750.6914672851562,731.7596435546875,1348.2713623046875,95.4158706665039,731.7596435546875,3505.2,-2.5,5.2,583.2,740.2,211.0,2.8,0.4,0.9,0.0,2.479287254925477,4.2870624839617975,6.52632845813338,7.491437283274676,8.083011223574465,8.361550191766467,8.399039988267193
08B,15050000,25.1,58.31049865160561,-134.34339295952356,-1490.39,17.90316,0.13,0.58,0.11,0.02,0.02,0.02,0.03,0.1,-0.01,0.12,0.58,0.18,0.02,0.02,0.02,0.02,0.03,0.01,0.12,0.57,0.2,0.02,0.03,0.02,0.02,0.03,-0.01,29.4217586517334,267.8778428689618,717.73095703125,703.1804809570312,1348.2713623046875,81.37892150878906,703.1804809570312,3431.0,-2.3,5.4,594.7,690.7,207.6,2.8,0.4,0.9,0.0,0.864804483994049,3.634305495101304,5.781636645379948,6.807449460613387,7.913192661290818,8.921709522445942,9.512298984273555
08B,15052000,31.6,58.39520331606792,-134.36852299050105,-1738.8,10.33897,0.04,0.2,0.14,0.01,0.01,0.03,0.04,0.53,0.0,0.04,0.2,0.18,0.01,0.02,0.03,0.03,0.49,0.0,0.04,0.2,0.2,0.01,0.02,0.03,0.03,0.47,0.0,21.61331558227539,279.92820593644683,1064.951904296875,1005.9684448242188,1627.68603515625,213.578369140625,1005.9684448242188,3746.3,-4.3,3.8,525.4,1362.6,222.3,2.8,0.4,0.8,0.0,2.258987382158932,3.6466957672521305,6.004690422427038,7.374157902238395,8.738830857707999,9.632590735282342,10.17117003265139
08B,15052475,1.2,58.36919916531525,-134.57417891071384,-1517.24,18.8976,0.66,0.05,0.11,0.02,0.03,0.13,0.0,0.0,0.0,0.63,0.04,0.09,0.02,0.02,0.21,0.0,0.0,-0.01,0.63,0.04,0.09,0.02,0.02,0.21,0.0,0.0,-0.01,14.493465423583984,294.8336461161231,32.62640380859375,118.8802261352539,437.6914978027344,-2.2393386363983154,118.8802261352539,2117.6,1.9,8.5,761.8,69.4,167.1,2.9,0.4,1.0,0.0,2.1467226395371246,4.00899022703198,6.283350460122426,7.379251786151848,8.267897790045025,8.910127757665283,9.257812462385578
