region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,H_4_bits,H_6_bits,H_8_bits,H_9_bits,H_10_bits,H_11_bits,H_12_bits
08B,15052495,40.4,58.42582379198417,-134.44824535446867,-1537.01,18.32682,0.17,0.38,0.15,0.01,0.01,0.03,0.03,0.22,-2.220446049250313e-16,0.17,0.38,0.17,0.01,0.01,0.02,0.02,0.2,0.02,0.17,0.38,0.18,0.01,0.01,0.03,0.03,0.2,-0.01,26.87652015686035,284.3671947156006,852.7425537109375,880.9046020507812,1682.644775390625,187.0225982666016,880.9046020507812,3472.8,-3.5,4.4,553.2,1087.9,214.1,2.8,0.4,0.9,0.0,3.347234910421,5.149907149137195,7.43113892851737,8.368455103090842,8.936515285251616,9.19333300312885,9.259118017545521
08B,15052800,36.8,58.450312199556784,-134.63389790583477,-1514.05,18.77781,0.66,0.21,0.05,0.01,0.01,0.01,0.01,0.05,-0.01,0.65,0.2,0.06,0.01,0.01,0.02,0.01,0.04,-2.220446049250313e-16,0.65,0.21,0.07,0.01,0.01,0.02,0.01,0.03,-0.01,21.6984977722168,173.11008369216367,391.7347412109375,466.947998046875,1551.752685546875,8.094420433044434,466.947998046875,2725.4,-0.9,6.3,647.5,467.5,191.3,2.8,0.4,0.9,0.0,2.3857317387431114,4.251984296771319,6.374662374983991,7.48595308875129,8.534861540588352,9.34235663293612,9.731153914120544
08B,15053200,1.0,58.37731770647618,-134.554685699252,-1314.51,11.38913,0.97,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.97,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.97,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,22.7933349609375,310.7703859765074,251.9205780029297,264.2942199707031,691.098876953125,9.675677299499512,264.2942199707031,2531.1,0.4,7.4,697.3,213.2,177.8,2.8,0.4,1.0,0.0,1.4401998755725751,4.2652844493810935,6.664449978951669,7.681894622189385,8.427954018262406,8.795101368701832,8.939275462081365
08B,15053800,6.9,58.414990536514985,-134.65482468604174,-1520.0,19.0,0.73,0.24,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.72,0.24,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.72,0.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,10.57138729095459,134.65590956053853,328.4004211425781,325.4066772460937,572.1251831054688,24.37692642211914,325.4066772460937,2435.4,0.3,7.3,693.8,173.0,179.9,2.8,0.4,1.0,0.0,1.6414903868583557,3.887888973551618,6.034431963656843,6.907529443611633,7.282212955921553,7.318257868525421,7.318257868525422
08B,15054000,21.1,58.402955164927306,-134.66330056900347,-1498.99,18.22181,0.74,0.16,0.04,0.01,0.01,0.01,0.03,0.0,0.0,0.74,0.16,0.04,0.01,0.01,0.02,0.03,0.0,-0.01,0.73,0.16,0.04,0.01,0.01,0.02,0.03,0.0,0.0,9.935358047485352,137.78336819477596,259.1525573730469,263.713134765625,572.1251831054688,0.0,263.713134765625,2326.4,0.8,7.7,713.8,135.9,176.2,2.8,0.4,1.0,0.0,2.3341251773807046,4.376153530811572,5.87606008730775,6.684467019476637,6.891006863370195,6.891006863370195,6.891006863370195
08B,15054600,2.7,58.61680025595539,-134.92074113584823,-1375.03,13.63061,0.97,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.95,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.96,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,15.397313117980955,277.34585938666817,112.1040267944336,131.7799072265625,460.9522399902344,14.73728370666504,131.7799072265625,2005.5,1.3,8.1,736.9,91.9,168.4,2.9,0.4,1.0,0.0,2.0528055729954726,4.54054224361976,5.776489592903998,5.850850278785637,5.8508502787856385,5.8508502787856385,5.850850278785637
08B,15054990,37.6,58.67962932303591,-134.83570291284707,-1571.11,16.97705,0.46,0.19,0.12,0.01,0.01,0.02,0.02,0.18,-0.01,0.46,0.19,0.11,0.01,0.01,0.02,0.02,0.18,0.0,0.46,0.19,0.14,0.01,0.01,0.02,0.02,0.16,-0.01,26.349536895751957,250.32472312012345,744.076904296875,775.9942016601562,1763.2222900390625,34.632503509521484,775.9942016601562,3104.9,-3.0,4.4,573.3,983.3,202.3,2.9,0.4,0.9,0.0,2.4636930312203127,4.890031737177563,6.859587143250131,7.186397912590685,7.293280498693783,7.3177354905075465,7.317735490507546
08B,15056030,1.7,59.01359833541362,-135.14930791532336,-1529.35,18.62986,0.21,0.23,0.25,0.02,0.02,0.05,0.05,0.19,-0.02,0.21,0.23,0.25,0.01,0.02,0.04,0.05,0.19,0.0,0.21,0.23,0.27,0.02,0.02,0.04,0.05,0.17,-0.01,34.90827560424805,247.12210786490172,1158.15771484375,1120.2987060546875,1917.9500732421875,45.8038330078125,1120.2987060546875,2016.1,-4.4,3.1,530.7,819.5,204.5,3.1,0.5,1.0,0.0,2.0843765936917293,3.9366271949964644,6.2584502700944835,7.677319960219832,8.770613859956502,9.37449886674499,9.594382859433583
08B,15056070,23.5,59.301287874296,-135.29262732861702,-269.15,0.159,0.26,0.21,0.25,0.02,0.02,0.05,0.06,0.14,-0.01,0.26,0.21,0.24,0.02,0.02,0.04,0.05,0.17,-0.01,0.25,0.21,0.26,0.02,0.02,0.04,0.05,0.16,-0.01,27.364673614501957,226.0275178450084,939.476318359375,901.967529296875,1627.50927734375,232.864013671875,901.967529296875,1697.7,-4.7,3.1,503.9,558.7,215.2,3.6,0.6,1.0,0.0,2.7314146333906035,5.136702444470279,6.707785007145654,7.172740674346494,7.477099494797337,7.70235543203114,7.716840891005789
08B,15056095,5.5,59.51523797414247,-135.16583977507574,-1059.54,0.75145,0.0,0.06,0.74,0.01,0.01,0.05,0.04,0.08,0.0099999999999998,0.0,0.06,0.67,0.01,0.01,0.04,0.11,0.1,0.0,0.0,0.06,0.69,0.01,0.01,0.05,0.08,0.09,0.01,31.168109893798828,297.89333882735656,1338.4241943359375,1398.844482421875,2147.4208984375,909.4537963867188,1398.844482421875,1687.7,-8.3,-0.3,401.9,1051.0,221.9,3.7,0.6,1.1,0.0,2.3473379008618083,4.532708095663219,6.47975367232761,7.094852204324804,7.223486546760123,7.223486546760126,7.2234865467601255
08B,15056280,11.8,59.43849604940573,-135.62921581914384,-595.81,0.42256,0.03,0.14,0.32,0.02,0.02,0.05,0.07,0.34,0.0099999999999997,0.03,0.14,0.35,0.02,0.02,0.04,0.07,0.32,0.0099999999999997,0.03,0.14,0.36,0.02,0.03,0.05,0.07,0.31,-0.01,25.01178741455078,265.96979818125874,1154.1251220703125,1155.144287109375,1850.060302734375,691.8499755859375,1155.144287109375,1706.3,-6.3,1.8,456.8,766.8,224.0,3.6,0.6,1.0,0.0,2.0545907118435203,4.707814186032559,6.789563609391557,7.418459270481416,7.579598953753021,7.583843107471939,7.583843107471941
08B,15057580,26.0,58.48280412496179,-135.58925339515818,-1519.72,9.3856,0.51,0.45,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.51,0.45,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.51,0.45,0.02,0.01,0.0,0.0,0.0,0.0,0.01,17.775341033935547,233.5968328668402,458.4246215820313,503.591796875,1096.4542236328125,199.3209991455078,503.591796875,2745.0,-1.0,6.1,634.8,437.5,197.0,2.8,0.4,1.0,0.0,2.2420173006820243,4.400333654875671,6.89856818317045,7.951276245734483,8.688892522092534,8.992349962974451,9.108648548103702
08B,15087200,1.3,56.80625247420246,-132.946162796843,-1520.0,19.0,0.34,0.1,0.18,0.17,0.04,0.17,0.0,0.0,-2.220446049250313e-16,0.34,0.1,0.18,0.17,0.04,0.16,0.0,0.0,0.0099999999999997,0.34,0.1,0.19,0.18,0.04,0.15,0.0,0.0,0.0,2.4624247550964355,297.56596123761267,28.31786727905273,27.815906524658203,43.3175048828125,10.202618598937988,27.815906524658203,2634.3,3.2,9.7,824.0,32.5,171.6,2.8,0.4,1.0,0.0,3.092228082910216,4.563451370046475,6.432798852497891,6.76053212455972,6.781027221128538,6.7878428238753905,6.7878428238753905
08B,15087300,46.8,56.69066567068957,-132.8460355232035,-1520.0,19.0,0.8,0.12,0.04,0.03,0.0,0.0,0.0,0.0,0.0099999999999998,0.81,0.1,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.05,0.04,0.0,0.0,0.0,0.0,0.0099999999999998,12.893195152282717,198.33597357520117,132.3765869140625,214.130615234375,772.2662353515625,10.57614803314209,214.130615234375,3007.0,2.4,9.1,783.8,62.2,176.9,2.8,0.4,1.0,0.0,2.5278012960133953,4.721124155575236,7.24486957963806,8.281117303363972,9.049291583459839,9.500841243341476,9.681942165396265
08B,15087500,1.1,56.78876577689404,-132.8881326747142,-1520.0,19.0,0.89,0.04,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.87,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0099999999999998,0.88,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,19.76094436645508,28.36414591222764,212.3887481689453,239.4189300537109,686.4287109375,31.67814826965332,239.4189300537109,3030.7,2.2,8.9,773.5,76.3,169.4,2.8,0.4,1.0,0.0,2.4707276275889103,4.429375816661265,6.883022977812251,7.898211866354188,8.642462747050452,9.023356367336422,9.171206448049222
08B,15087545,4.4,56.76464975683907,-132.92250018059815,-1520.0,19.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.10672950744629,335.3566900479193,427.56536865234375,432.2054138183594,794.1339721679688,134.3580780029297,432.2054138183594,3392.3,1.5,8.3,737.6,123.3,182.2,2.8,0.4,1.0,0.0,2.8935184515816035,4.498082831154328,6.664222758642791,7.398985377222343,7.678857172759645,7.736826969534299,7.7427813374079335
08B,15087565,39.4,57.00011186780579,-133.8453524096659,-1650.0,12.0,0.76,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.75,0.21,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.75,0.21,0.03,0.01,0.0,0.0,0.0,0.0,0.0,14.242841720581056,296.2242668901401,205.92747497558597,238.94834899902344,683.5443725585938,27.746044158935547,238.94834899902344,3493.1,2.2,8.8,767.8,70.3,176.5,2.8,0.4,1.0,0.0,3.25421793219302,5.213412648061529,7.295466707989714,8.17029895157731,8.820986526933494,9.181598326339115,9.310089255160698
08B,15087590,6.1,56.600903345241846,-133.75711940168074,-1250.0,9.0,0.92,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.92,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.92,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,6.734101295471191,40.35620527349324,113.59747314453124,117.9599380493164,253.4647521972656,19.93174934387207,117.9599380493164,3375.9,3.3,9.6,821.2,26.3,173.1,2.8,0.3,1.0,0.0,1.9182700722013266,4.074558637610509,6.364971905297944,7.120854761076969,7.490890927580042,7.5002672531223,7.502917162366429
08B,15087618,11.2,57.117277498814026,-135.30832568354808,-1520.0,19.0,0.72,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.75,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.75,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.01,28.056621551513672,284.22636413902546,446.76019287109375,437.4397583007813,955.895751953125,32.58147048950195,437.4397583007813,3610.0,1.4,8.1,733.2,139.6,175.9,2.6,0.4,1.0,0.0,2.549418805340734,4.566595149133724,7.105994246006445,8.22972288019532,9.065908720273201,9.53564750592698,9.715104755307816
