region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,mean_runoff
ERK,05AA033,38.1,49.44067137666256,-113.96611915247686,-1068.74,0.0,0.01,0.06,0.11,0.02,0.77,0.03,0.0,0.0,0.0,0.01,0.06,0.11,0.01,0.77,0.03,0.01,0.0,0.0,0.0,0.37,0.35,0.03,0.21,0.03,0.01,0.0,0.0,2.5827742,10.88678163961102,1271.3528,1270.0088,1394.3864,1123.3218,1270.0088,592.0,-1.3,10.9,611.4,61.6,281.0,5.2,0.7,1.0,0.1,0.2342441359098103
ERK,05AA034,24.4,49.2912552354882,-114.12336752961934,-1323.4,5.44621,0.46,0.13,0.36,0.02,0.02,0.0,0.0,0.0,0.0099999999999998,0.46,0.13,0.37,0.02,0.02,0.0,0.0,0.0,0.0,0.38,0.23,0.35,0.02,0.02,0.0,0.0,0.0,0.0,20.394556,94.31203483304438,1969.2107,1940.4966,2528.5747,1534.3743,1940.4966,1116.1,-3.3,5.9,562.3,290.7,291.3,4.5,0.7,1.0,0.1,2.409906266525648
ERK,05AA035,1837.9,49.93891130284416,-114.39263020000772,-1486.83,15.65024,0.62,0.14,0.21,0.01,0.02,0.0,0.0,0.0,0.0,0.62,0.14,0.22,0.01,0.02,0.0,0.0,0.0,-0.01,0.6,0.14,0.25,0.0,0.01,0.0,0.0,0.0,0.0,13.193318,117.5339839341812,1761.0,1769.4431,3064.323,1187.3035,1769.4431,702.5,-4.1,7.0,518.3,138.0,286.8,4.8,0.7,1.0,0.1,0.7720763701063028
ERK,05AA909,73.1,49.77015770513272,-114.30916458031652,-1593.49,15.04291,0.48,0.24,0.25,0.01,0.02,0.0,0.0,0.0,0.0,0.48,0.24,0.25,0.01,0.02,0.0,0.0,0.0,0.0,0.42,0.34,0.23,0.01,0.01,0.0,0.0,0.0,-0.01,11.603659,83.76410643301723,1564.1254,1633.8993,2492.2661,1410.3268,1633.8993,664.9,-3.3,7.9,543.1,114.8,282.9,4.9,0.7,1.0,0.1,0.5160101019547791
ERK,05AB005,441.4,49.99198418462465,-113.949275921226,-1270.52,8.7895,0.34,0.27,0.33,0.01,0.04,0.0,0.0,0.0,0.0099999999999997,0.33,0.28,0.33,0.01,0.04,0.0,0.0,0.0,0.0099999999999997,0.19,0.44,0.36,0.01,0.01,0.0,0.0,0.0,-0.01,8.2682457,80.31361694694465,1361.3282,1367.0729,1808.845,995.24109,1367.0729,523.5,-2.4,9.9,560.0,56.8,282.8,6.0,0.8,1.0,0.1,0.20414787601462625
ERK,05AB013,255.7,49.747675598414666,-113.87075925753857,-1167.66,4.6957,0.27,0.23,0.34,0.01,0.14,0.0,0.0,0.0,0.0099999999999998,0.27,0.23,0.34,0.01,0.14,0.0,0.0,0.0,0.0099999999999998,0.22,0.28,0.39,0.01,0.1,0.0,0.0,0.0,0.0,7.7529454,125.85899419887006,1363.9867,1381.5007,1802.406,1097.3466,1381.5007,560.7,-2.2,9.9,574.2,62.9,284.6,5.7,0.8,1.0,0.1,0.12753751404997155
ERK,05AB022,1.4,50.10178722001892,-114.06861601011197,-1520.0,19.0,0.87,0.05,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.84,0.07,0.07,0.01,0.02,0.0,0.0,0.0,-0.01,0.15,0.81,0.04,0.0,0.0,0.0,0.0,0.0,0.0,12.158064,352.02608922564974,1531.1833,1534.4982,1697.9468,1404.8846,1534.4982,571.4,-3.0,8.8,549.1,71.1,275.3,5.8,0.8,1.0,0.1,0.05490535878867678
ERK,05AB029,129.1,49.88980675404763,-113.82887191860934,-1126.85,2.73055,0.15,0.31,0.41,0.01,0.11,0.0,0.0,0.0,0.01,0.15,0.32,0.4,0.01,0.11,0.0,0.0,0.0,0.01,0.07,0.41,0.46,0.01,0.05,0.0,0.0,0.0,0.0,6.2375736,57.6046263387589,1268.406,1258.4087,1794.7812,994.24371,1258.4087,500.0,-2.0,10.7,569.2,48.4,280.4,6.1,0.8,1.0,0.1,0.11845480039608167
ERK,05AB030,6.0,50.10905728939849,-114.06028049517094,-1520.0,19.0,0.74,0.08,0.1,0.01,0.08,0.0,0.0,0.0,-0.01,0.73,0.08,0.1,0.02,0.08,0.0,0.0,0.0,-0.01,0.06,0.89,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11.016493,0.1393320686253049,1462.0045,1465.2227,1697.9468,1322.2457,1465.2227,549.4,-2.8,9.3,552.6,63.6,276.0,5.8,0.8,1.0,0.1,0.15714900051224048
ERK,05AB040,65.5,50.24724126665588,-114.41693778355608,-1524.96,18.73268,0.83,0.09,0.08,0.0,0.0,0.0,0.0,0.0,1.1102230246251563e-16,0.83,0.09,0.08,0.0,0.0,0.0,0.0,0.0,1.1102230246251563e-16,0.63,0.17,0.19,0.0,0.0,0.0,0.0,0.0,0.01,13.093117,66.03763927988062,1702.3055,1729.3301,2338.2471,1456.8527,1729.3301,678.0,-4.3,7.2,512.1,115.6,284.5,4.9,0.7,1.0,0.1,0.9858200178110879
